Network,Station,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
IU,SPA,-89.9954,115,2927.0,"South Pole, Antarctica",1991-12-18T00:00:00.0000,1996-12-09T00:00:00.0000
IU,SPA,-90,0,2927.0,"South Pole, Antarctica",1996-12-09T00:00:00.0000,2004-01-08T00:00:00.0000
IU,SSPA,40.6358,-77.8876,270.0,"Standing Stone, Pennsylvania",1994-12-01T00:00:00.0000,2010-09-26T00:00:00.0000
IU,SSPA,40.6358,-77.8876,270.0,"Standing Stone, Pennsylvania",2010-09-27T00:00:00.0000,
IU,TARA,1.3549,172.9229,20.0,"Tarawa Island, Republic of Kiribati",2007-01-01T00:00:00.0000,2009-11-12T20:11:34.0000
IU,TARA,1.3549,172.9229,20.0,"Tarawa Island, Republic of Kiribati",2009-11-13T00:10:27.0000,
IU,TATO,24.9735,121.4971,160.0,"Taipei, Taiwan",1992-09-26T00:00:00.0000,2009-09-21T04:10:42.0000
IU,TATO,24.9735,121.4971,160.0,"Taipei, Taiwan",2009-09-22T13:56:41.0000,
IU,TBT,28.6794,-17.9145,180.0,"Taburiente, Canary Islands, Spain",1993-03-17T00:00:00.0000,1996-08-22T00:00:00.0000
IU,TEIG,20.2263,-88.2763,40.0,"Tepich, Yucatan, Mexico",1996-11-01T00:00:00.0000,
IU,TIXI,71.6341,128.8667,40.0,"Tiksi, Russia",1995-08-15T00:00:00.0000,
IU,TOL,39.8814,-4.048499,480.0,"Toledo, Spain",1991-08-09T00:00:00.0000,1992-10-01T00:00:00.0000
IU,TRIS,-37.0681,-12.3152,60.0,Tristan da Cunha,2004-03-03T00:00:00.0000,
IU,TRQA,-38.0568,-61.9787,540.0,"Tornquist, Argentina",2000-10-28T00:00:00.0000,2009-05-19T13:00:00.0000
IU,TRQA,-38.0568,-61.9787,540.0,"Tornquist, Argentina",2009-05-19T20:00:00.0000,
IU,TSUM,-19.2022,17.5838,1260.0,"Tsumeb, Namibia",1994-08-19T00:00:00.0000,
IU,TUC,32.3098,-110.7847,910.0,"Tucson, Arizona",1992-06-13T00:00:00.0000,2009-05-28T19:35:00.0000
IU,TUC,32.3098,-110.7847,910.0,"Tucson, Arizona",2009-05-28T19:40:00.0000,
IU,ULN,47.8651,107.0532,1610.0,"Ulaanbaatar, Mongolia",1994-10-31T00:00:00.0000,
IU,WAKE,19.2834,166.652,20.0,Wake Island,1997-05-06T00:00:00.0000,2007-08-29T00:00:00.0000
IU,WAKE,19.2834,166.652,20.0,Wake Island,2007-11-15T00:00:00.0000,
IU,WCI,38.2289,-86.2939,210.0,"Wyandotte Cave, Indiana, USA",1997-07-17T00:00:00.0000,
IU,WVT,36.1297,-87.83,170.0,"Waverly, Tennessee, USA",1997-04-16T00:00:00.0000,
IU,XMAS,2.0448,-157.4457,20.0,"Kiritimati Island, Republic of Kiribati",1997-08-22T00:00:00.0000,
IU,YAK,62.031,129.6805,110.0,"Yakutsk, Russia",1993-08-31T00:00:00.0000,
IU,YSS,46.9587,142.7604,150.0,"Yuzhno Sakhalinsk, Russia",1992-05-31T00:00:00.0000,
